,Market,Model,Seed1_M,Seed1_Q,Seed2_M,Seed2_Q,Seed3_M,Seed3_Q,Seed4_M,Seed4_Q,Seed5_M,Seed5_Q
0,SPY,HAR_RV,1.390*,3.464***,1.588*,2.892***,1.318*,3.229***,1.417*,2.956***,1.116,3.084***
1,SPY,HAR_RV_J,1.248,2.289**,1.505*,2.105**,1.213,2.256**,1.237,2.127**,1.009,2.183**
2,SPY,HAR_RV_CJ,1.405*,3.455***,1.651**,2.949***,1.339*,3.234***,1.443*,2.982***,1.136,3.111***
3,SPY,EWMA,1.810**,5.132***,1.640*,4.972***,1.758**,5.028***,1.724**,5.051***,1.772**,5.041***
4,SPY,GARCH,1.770**,4.912***,1.599*,4.730***,1.712**,4.805***,1.684**,4.832***,1.720**,4.818***
5,SPY,GJR-GARCH,1.523*,4.835***,1.270,4.618***,1.438*,4.698***,1.382*,4.708***,1.453*,4.710***
6,SPY,RGARCH,1.238,3.641***,1.232,3.541***,1.205,3.638***,1.209,3.545***,1.154,3.546***
7,SPY,LSTM,1.376*,2.520***,1.040,0.430,1.306*,1.688**,1.222,1.088,1.245,1.597*
8,SPY,GRU,1.367*,2.653***,0.996,1.838**,1.282*,2.125**,1.163,0.937,1.198,2.541***
9,SPY,BILSTM,1.526*,3.365***,1.021,0.839,1.358*,2.648***,1.018,3.628***,1.117,2.358***
10,SPY,DLinear,0.630,3.932***,0.419,3.097***,0.387,3.814***,0.343,2.817***,0.245,2.986***
11,SPY,PatchTST,1.738**,5.088***,2.028**,3.986***,1.965**,3.150***,1.657**,2.887***,1.584*,4.194***
12,SPY,iTransformer,1.441*,2.374***,1.131,4.050***,1.304*,2.834***,1.275,3.398***,1.313*,2.571***
13,SPY,TimeMixer,1.620*,4.592***,0.795,1.609*,1.760**,1.072,1.528*,4.555***,0.406,2.400***
14,SPY,TimeXer,1.474*,3.402***,1.204,3.859***,1.425*,5.391***,1.196,4.235***,1.014,3.811***
15,DIA,HAR_RV,1.588*,3.402***,1.628*,2.691***,1.042,2.283**,1.559*,3.092***,1.200,3.231***
16,DIA,HAR_RV_J,1.365*,3.733***,1.345*,3.046***,0.796,2.576***,1.162,3.407***,1.004,3.537***
17,DIA,HAR_RV_CJ,1.542*,3.183***,1.631*,2.460***,1.001,2.074**,1.493*,2.846***,1.172,3.014***
18,DIA,EWMA,1.660**,4.967***,1.494*,4.865***,1.636*,4.723***,1.558*,5.043***,1.631*,4.912***
19,DIA,GARCH,1.669**,4.538***,1.493*,4.426***,1.639*,4.278***,1.562*,4.597***,1.628*,4.495***
20,DIA,GJR-GARCH,1.401*,5.532***,1.186,5.342***,1.351*,5.127***,1.257,5.627***,1.357*,5.445***
21,DIA,RGARCH,1.429*,3.718***,1.371*,3.555***,1.273,3.338***,1.347*,3.680***,1.306*,3.652***
22,DIA,LSTM,1.296*,2.662***,1.023,1.095,1.260,1.398*,1.149,2.057**,1.227,1.943**
23,DIA,GRU,1.338*,2.338***,1.031,2.566***,1.267,1.024,1.130,1.701**,1.236,1.870**
24,DIA,BILSTM,1.359*,3.004***,0.972,1.482*,1.278,1.555*,0.911,4.583***,1.106,2.462***
25,DIA,DLinear,0.373,3.254***,-0.174,2.684***,-0.158,1.338*,-0.161,2.107**,0.131,2.407***
26,DIA,PatchTST,1.618*,5.545***,1.893**,3.888***,1.935**,2.514***,1.503*,3.185***,1.471*,4.629***
27,DIA,iTransformer,1.373*,2.321**,1.111,1.769**,1.312*,4.190***,1.285*,2.829***,1.295*,3.834***
28,DIA,TimeMixer,1.732**,7.168***,0.713,1.490*,1.786**,1.056,1.415*,6.500***,0.502,2.038**
29,DIA,TimeXer,1.368*,4.554***,1.152,4.364***,1.352*,4.771***,1.152,7.414***,1.146,5.443***
30,QQQ,HAR_RV,1.236,0.962,1.746**,1.240,1.261,0.038,1.642*,1.232,0.869,0.874
31,QQQ,HAR_RV_J,1.043,1.224,1.707**,1.537*,1.085,0.397,1.395*,1.501*,0.670,1.152
32,QQQ,HAR_RV_CJ,1.266,1.254,1.825**,1.529*,1.294*,0.433,1.683**,1.507*,0.911,1.188
33,QQQ,EWMA,2.079**,4.557***,1.856**,4.617***,2.035**,4.239***,1.975**,4.698***,1.992**,4.521***
34,QQQ,GARCH,1.956**,4.055***,1.829**,4.159***,1.928**,3.704***,1.909**,4.233***,1.872**,4.030***
35,QQQ,GJR-GARCH,1.825**,3.560***,1.669**,3.632***,1.785**,3.235***,1.761**,3.707***,1.734**,3.543***
36,QQQ,RGARCH,1.472*,3.479***,1.516*,3.740***,1.465*,3.137***,1.521*,3.712***,1.371*,3.462***
37,QQQ,LSTM,1.459*,0.896,1.150,1.321*,1.388*,0.835,1.284*,1.405*,1.167,1.506*
38,QQQ,GRU,1.363*,0.829,1.007,3.680***,1.304*,0.242,1.176,0.955,1.065,1.424*
39,QQQ,BILSTM,1.553*,1.135,1.090,2.795***,1.414*,1.297*,1.179,5.937***,0.982,0.995
40,QQQ,DLinear,0.399,2.071**,0.560,2.966***,0.179,0.098,0.411,2.152**,-0.096,1.409*
41,QQQ,PatchTST,1.799**,5.802***,2.289**,4.594***,2.149**,2.716***,1.800**,4.251***,1.584*,4.940***
42,QQQ,iTransformer,1.506*,2.876***,1.229,4.450***,1.506*,3.111***,1.464*,5.177***,1.372*,2.797***
43,QQQ,TimeMixer,1.766**,4.964***,0.755,1.182,1.788**,1.045,1.707**,4.521***,-0.038,0.883
44,QQQ,TimeXer,1.531*,3.230***,1.213,3.194***,1.489*,4.871***,1.332*,4.566***,1.282*,3.922***
