,Market,Model,Seed1_M,Seed1_Q,Seed2_M,Seed2_Q,Seed3_M,Seed3_Q,Seed4_M,Seed4_Q,Seed5_M,Seed5_Q
0,SPY,HAR_RV,1.699**,3.775***,1.843**,3.149***,1.484*,3.426***,1.759**,3.227***,1.314*,3.384***
1,SPY,HAR_RV_J,1.582*,2.857***,1.819**,2.542***,1.381*,2.745***,1.614*,2.597***,1.254,2.731***
2,SPY,HAR_RV_CJ,1.707**,4.118***,1.783**,3.506***,1.487*,3.747***,1.726**,3.567***,1.310*,3.708***
3,SPY,EWMA,3.744***,8.270***,3.403***,8.167***,3.626***,8.087***,3.584***,8.238***,3.412***,8.139***
4,SPY,GARCH,3.661***,7.250***,3.308***,7.034***,3.515***,7.036***,3.504***,7.094***,3.316***,7.089***
5,SPY,GJR-GARCH,2.813***,7.189***,2.390***,6.871***,2.722***,6.972***,2.575***,6.844***,2.559***,6.918***
6,SPY,RGARCH,1.778**,5.045***,1.725**,4.875***,1.686**,4.954***,1.690**,4.863***,1.641*,4.883***
7,SPY,LSTM,2.376***,2.832***,1.760**,0.533,2.338***,2.156**,2.145**,1.354*,1.792**,1.863**
8,SPY,GRU,2.187**,2.622***,1.697**,2.101**,2.383***,2.965***,1.973**,1.113,1.432*,2.536***
9,SPY,BILSTM,2.729***,4.015***,1.754**,1.004,2.356***,3.205***,1.552*,3.614***,1.360*,2.609***
10,SPY,DLinear,0.800,4.031***,0.474,3.278***,0.421,3.917***,0.447,3.138***,0.328,3.313***
11,SPY,PatchTST,3.567***,7.568***,3.310***,5.120***,2.233**,3.652***,2.190**,3.113***,2.421***,5.306***
12,SPY,iTransformer,3.072***,4.626***,2.207**,5.188***,2.661***,4.299***,2.558***,4.714***,2.398***,4.260***
13,SPY,TimeMixer,1.823**,4.468***,0.883,1.768**,1.617*,1.069,2.109**,4.808***,0.401,2.606***
14,SPY,TimeXer,2.830***,4.401***,2.357***,5.232***,2.832***,7.108***,2.383***,5.440***,1.258,4.122***
15,DIA,HAR_RV,1.692**,3.831***,1.947**,2.986***,1.076,2.474***,1.777**,3.412***,1.118,3.603***
16,DIA,HAR_RV_J,1.393*,4.284***,1.480*,3.407***,0.801,2.827***,1.231,3.840***,0.922,4.013***
17,DIA,HAR_RV_CJ,1.648**,3.584***,1.913**,2.727***,1.039,2.251**,1.698**,3.144***,1.097,3.365***
18,DIA,EWMA,3.564***,7.750***,3.126***,7.661***,3.482***,7.292***,3.306***,7.907***,3.305***,7.683***
19,DIA,GARCH,3.450***,6.420***,2.998***,6.286***,3.346***,5.961***,3.175***,6.460***,3.171***,6.378***
20,DIA,GJR-GARCH,3.087***,8.547***,2.470***,7.912***,2.942***,7.603***,2.673***,8.349***,2.782***,8.411***
21,DIA,RGARCH,1.983**,4.784***,1.855**,4.580***,1.712**,4.199***,1.785**,4.724***,1.755**,4.685***
22,DIA,LSTM,2.565***,3.376***,1.855**,1.442*,2.484***,1.959**,2.191**,2.839***,2.174**,2.529***
23,DIA,GRU,2.547***,2.654***,1.888**,3.183***,2.540***,1.471*,2.113**,2.192**,1.997**,2.196**
24,DIA,BILSTM,2.746***,3.882***,1.776**,1.894**,2.484***,2.099**,1.556*,4.706***,1.700**,2.914***
25,DIA,DLinear,0.411,3.497***,-0.164,2.952***,-0.174,1.433*,-0.197,2.434***,0.124,2.580***
26,DIA,PatchTST,3.402***,8.533***,3.235***,5.294***,2.117**,2.920***,2.362***,3.848***,2.467***,5.871***
27,DIA,iTransformer,3.028***,4.875***,2.066**,2.579***,2.773***,6.601***,2.649***,4.894***,2.585***,6.582***
28,DIA,TimeMixer,2.034**,7.653***,0.946,1.670**,1.113,1.053,2.283**,8.151***,0.415,2.140**
29,DIA,TimeXer,2.803***,6.162***,2.302**,6.181***,2.852***,6.880***,2.292**,9.218***,1.893**,6.302***
30,QQQ,HAR_RV,1.525*,1.028,1.977**,1.292*,1.476*,0.038,1.961**,1.294*,1.114,0.915
31,QQQ,HAR_RV_J,1.308*,1.385*,1.821**,1.665**,1.248,0.420,1.691**,1.651**,0.859,1.269
32,QQQ,HAR_RV_CJ,1.558*,1.469*,1.896**,1.776**,1.496*,0.477,1.970**,1.767**,1.135,1.354*
33,QQQ,EWMA,4.004***,6.842***,3.647***,7.134***,3.965***,6.290***,3.912***,7.178***,3.762***,6.807***
34,QQQ,GARCH,3.887***,5.502***,3.626***,5.797***,3.868***,4.938***,3.833***,5.802***,3.723***,5.488***
35,QQQ,GJR-GARCH,3.506***,5.137***,3.222***,5.409***,3.498***,4.600***,3.435***,5.418***,3.388***,5.124***
36,QQQ,RGARCH,2.063**,4.413***,2.087**,4.702***,1.994**,3.814***,2.064**,4.630***,1.894**,4.335***
37,QQQ,LSTM,2.447***,1.123,1.973**,1.729**,2.405***,1.105,2.293**,1.900**,1.856**,1.790**
38,QQQ,GRU,2.188**,0.948,1.760**,4.145***,2.379***,0.338,2.081**,1.249,1.525*,1.581*
39,QQQ,BILSTM,2.672***,1.494*,1.895**,3.254***,2.418***,1.712**,1.954**,5.994***,1.378*,1.213
40,QQQ,DLinear,0.528,2.236**,0.551,2.978***,0.213,0.101,0.495,2.377***,-0.132,1.505*
41,QQQ,PatchTST,3.438***,7.925***,3.489***,6.304***,2.344***,3.092***,2.439***,4.716***,2.483***,6.054***
